"HOME LOAN CENTER, INC.",178750
HOME LOAN INVESTMENT BANK,1570
HOME SAVINGS & TRUST MORTGAGE,729111
HOME SAVINGS AND LOAN,4947
"HOME STATE BANK, N.A.",603
HOMEAMERICAN MORTGAGE CORP,444621
"HOMEOWNERS MORTGAGE ENT., INC",70320
HOMEOWNERS MORTGAGE OF AMERICA,96102
HOMEPROMISE CORPORATION,16199
"HOMESALE LENDING, LLC",2480
"HOMESERVICES LENDING, LLC",51500
HOMESTAR BANK & FINANCIAL SVCS,249
HOMESTEAD FUNDING CORP.,210018
HOMESTEAD MORTGAGE DBA HOMESIT,1899
HOMETOWN BANK,13308
HOMETRUST BANK,714
"HOMEWARD RESIDENTIAL, INC",128235
HOMEWOOD FEDERAL SAVINGS BANK,20089
HOPKINS FEDERAL SAVINGS BANK,8796
HORICON BANK,386
HOUSTON FEDERAL CREDIT UNION,218
HOWARD BANK,237658
"HSBC BANK USA, NA",378645
"HUDSON VALLEY BANK, N.A.",1270
HUNTINGDON VALLEY BANK,1617
HUNTINGTON FEDERAL SAVINGS,49702
IAA CREDIT UNION,467
IAB FINACIAL BANK,892
IBM SOUTHEAST EMPLOYEES FCU,1631
IDAHO INDEPENDENT BANK,135
IDAHO STATE UNIVERSITY FCU,184
IDB-IIC FEDERAL CREDIT UNION,220691
IFREEDOM DIRECT CORPORATION,226224
ILLINOIS NATIONAL BANK,1179
INDEPENDENCE BANK,936
INDUSTRIAL BANK,60665
INFINITY HOME MORTGAGE CO. INC,3606
"ING BANK, FSB / CAPITAL ONE",389985
INLAND BANK & TRUST,3199
INLAND HOME MORTGAGE COMPANY,1021
INOVA FEDERAL CREDIT UNION,331
INTEGRATED FINANCIAL GROUP INC,35352
INTEGRITY BANK,1617
INTEGRITY FIRST FINANCIAL GROU,31041
INTEGRITY HOME MORTGAGE CORP,775019
INTERCOASTAL MORTGAGE COMPANY,2406507
INTOUCH CREDIT UNION,11234
INVESTORS BANK,12333
ISB HOME MORTGAGE LLC,1465
ISERVE RESIDENTIAL LENDING LLC,9042
JAMES B. NUTTER & CO.,138517
JARRETTSVILLE FEDERAL S&L,26470
JEFFERSON FEDERAL BANK,164
JEFFERSON SECURITY BANK,17924
"JMAC LENDING, INC.",1188
JOHN MARSHALL BANK,7288
JOHNS HOPKINS FEDERAL CREDIT U,81756
JOHNSON CITY FEDERAL CREDIT UN,80
"JOHNSON MORTGAGE COMPANY, LLC",135510
"JPMORGAN CHASE BANK, NA",9921005
JUSTICE FEDERAL CREDIT UNION,60833
K. HOVNANIAN AMERICAN MORTGAGE,544323
